Interaction_id_system;Interaction_date;User_id_system;Product_id;TypeInt_id;Event;Location;Quantity;Product_rating
I0959;1/01/2025 05:26;U013;P007;TipInt004;Holiday Sale;Sydney, Australia;2;1.6
I0364;1/01/2025 17:14;U093;P091;TipInt001;Cyber Monday;Toronto, Canada;-;4.6
I0978;2/01/2025 08:28;U071;P044;TipInt003;Holiday Sale;Toronto, Canada;-;2.9
I0748;2/01/2025 22:16;U085;P057;TipInt004;Cyber Monday;Berlin, Germany;4;3.1
I0000;3/01/2025 02:08;U060;P071;TipInt001;Regular Day;New York, USA;-;2.8
I0358;3/01/2025 07:43;U092;P095;TipInt004;Cyber Monday;New York, USA;4;3.3
I0432;4/01/2025 12:48;U032;P082;TipInt002;Cyber Monday;Toronto, Canada;-;4.8
I0940;4/01/2025 13:47;U011;P048;TipInt003;Spring Sale;Toronto, Canada;-;1.9
I0335;4/01/2025 17:15;U039;P075;TipInt001;Spring Sale;New York, USA;-;1.2
I0208;4/01/2025 21:00;U036;P056;TipInt003;Cyber Monday;Toronto, Canada;-;4.2
I0070;4/01/2025 22:04;U002;P090;TipInt004;Cyber Monday;London, UK;5;4.1
I0203;5/01/2025 05:40;U083;P040;TipInt003;Holiday Sale;London, UK;-;1.5
I0349;5/01/2025 22:46;U070;P022;TipInt001;Regular Day;London, UK;-;2.6
I0217;6/01/2025 15:06;U088;P039;TipInt002;Black Friday;New York, USA;-;1.8
I0820;7/01/2025 10:24;U018;P008;TipInt001;Cyber Monday;Sydney, Australia;-;1.9
I0638;7/01/2025 18:18;U016;P018;TipInt002;Spring Sale;Sydney, Australia;-;2.8
I0149;7/01/2025 18:59;U051;P001;TipInt001;Holiday Sale;New York, USA;-;4.9
I0301;7/01/2025 23:57;U076;P017;TipInt003;Spring Sale;Berlin, Germany;-;1.7
I0861;8/01/2025 11:02;U058;P080;TipInt002;Regular Day;Sydney, Australia;-;2.8
I0713;8/01/2025 20:46;U008;P044;TipInt002;Cyber Monday;Berlin, Germany;-;2.9
I0425;9/01/2025 08:37;U026;P076;TipInt001;Black Friday;Sydney, Australia;-;2.2
I0842;9/01/2025 13:56;U004;P087;TipInt001;Spring Sale;London, UK;-;2.3
I0603;9/01/2025 23:09;U079;P014;TipInt001;Holiday Sale;Sydney, Australia;-;4.4
I0446;10/01/2025 17:43;U030;P037;TipInt003;Spring Sale;Berlin, Germany;-;2.9
I0244;11/01/2025 08:47;U039;P013;TipInt003;Cyber Monday;New York, USA;-;3.8
I0956;11/01/2025 15:40;U068;P060;TipInt004;Regular Day;Sydney, Australia;5;1.6
I0769;12/01/2025 14:20;U088;P022;TipInt002;Black Friday;New York, USA;-;2.6
I0598;12/01/2025 19:43;U081;P043;TipInt003;Regular Day;Sydney, Australia;-;1.6
I0159;12/01/2025 19:58;U069;P031;TipInt003;Holiday Sale;Toronto, Canada;-;2.7
I0575;12/01/2025 22:19;U072;P072;TipInt002;Spring Sale;Toronto, Canada;-;4.3
I0663;12/01/2025 23:20;U072;P068;TipInt002;Regular Day;Toronto, Canada;-;2.8
I0941;1/02/2025 10:12;U099;P017;TipInt002;Black Friday;London, UK;-;1.7
I0309;1/02/2025 20:28;U087;P030;TipInt003;Black Friday;London, UK;-;1.4
